Min Impurity Decrease,Validation Accuracy,Testing Accuracy
1.36,0.9188571428571427,0.9187142857142857
1.37,0.9220000000000003,0.9222857142857143
1.3800000000000001,0.9215714285714286,0.9254285714285715
1.3900000000000001,0.9189999999999999,0.9157142857142858
1.4000000000000001,0.9188571428571427,0.918142857142857
1.41,0.9224285714285715,0.9188571428571427
1.42,0.9231428571428572,0.9188571428571431
1.43,0.9194285714285714,0.9197142857142858
1.44,0.9172857142857144,0.9235714285714286
1.45,0.913,0.9162857142857145
1.46,0.9181428571428573,0.9162857142857143
1.47,0.9234285714285716,0.9177142857142856
1.48,0.9185714285714285,0.9209999999999999
1.49,0.9198571428571428,0.9185714285714285
1.5,0.9187142857142856,0.9178571428571433
1.51,0.9197142857142856,0.9217142857142858
1.52,0.919142857142857,0.9227142857142856
1.53,0.9131428571428575,0.9195714285714285
1.54,0.9185714285714289,0.9137142857142858
1.55,0.9179999999999998,0.9241428571428572
1.56,0.9231428571428572,0.9195714285714285
1.57,0.9171428571428571,0.9239999999999997
1.58,0.9197142857142858,0.9197142857142858
1.59,0.9179999999999998,0.9190000000000002
1.6,0.916,0.917857142857143
1.61,0.9195714285714286,0.9207142857142859
1.62,0.9189999999999999,0.9202857142857143
1.6300000000000001,0.9115714285714285,0.9259999999999999
1.6400000000000001,0.9197142857142856,0.9207142857142857
1.6500000000000001,0.92,0.9157142857142858
1.6600000000000001,0.9218571428571428,0.9187142857142859
1.67,0.922,0.9208571428571429
1.68,0.9199999999999999,0.9218571428571428
1.69,0.9167142857142855,0.9134285714285714
1.7,0.9191428571428572,0.9151428571428571
1.71,0.9202857142857145,0.9218571428571428
1.72,0.9214285714285714,0.9208571428571429
1.73,0.9134285714285714,0.9194285714285714
1.74,0.9161428571428569,0.919857142857143
1.75,0.9205714285714285,0.9197142857142858
1.76,0.9168571428571429,0.9208571428571432
1.77,0.9240000000000003,0.9184285714285717
1.78,0.9184285714285715,0.9160000000000005
1.79,0.911857142857143,0.9184285714285713
1.8,0.917857142857143,0.9211428571428572
1.81,0.9155714285714286,0.9238571428571429
1.82,0.9169999999999999,0.9195714285714285
1.83,0.9205714285714287,0.9202857142857143
1.84,0.9177142857142858,0.9188571428571431
1.85,0.9205714285714285,0.9182857142857143
1.86,0.9150000000000004,0.9190000000000004
1.87,0.9208571428571428,0.9222857142857143
1.8800000000000001,0.9220000000000003,0.9145714285714287
1.8900000000000001,0.9207142857142857,0.919714285714286
1.9000000000000001,0.9165714285714289,0.9147142857142861
1.9100000000000001,0.9224285714285715,0.9164285714285715
1.92,0.9260000000000002,0.9182857142857145
1.93,0.914,0.9245714285714289
1.94,0.9115714285714287,0.9171428571428574
1.95,0.9262857142857145,0.916
1.96,0.9167142857142859,0.9188571428571429
1.97,0.9177142857142858,0.9170000000000004
1.98,0.9132857142857145,0.9185714285714287
1.99,0.9199999999999999,0.9178571428571428
