Min Impurity Decrease,Validation Accuracy,Testing Accuracy
0.0,0.9085714285714286,0.9127142857142859
0.01,0.9397142857142855,0.9322857142857144
0.02,0.9355714285714283,0.9424285714285714
0.03,0.9397142857142857,0.9357142857142857
0.04,0.9265714285714286,0.9287142857142859
0.05,0.9205714285714285,0.922
0.06,0.9202857142857145,0.9202857142857145
0.07,0.9138571428571429,0.9221428571428573
0.08,0.918142857142857,0.9164285714285713
0.09,0.9201428571428569,0.9222857142857143
0.1,0.9241428571428573,0.9191428571428572
0.11,0.9208571428571429,0.917857142857143
0.12,0.9187142857142857,0.9237142857142857
0.13,0.9168571428571431,0.9227142857142857
0.14,0.9191428571428572,0.9167142857142859
0.15,0.9167142857142859,0.9171428571428574
0.16,0.9178571428571428,0.9192857142857142
0.17,0.919142857142857,0.9175714285714288
0.18,0.9158571428571428,0.9198571428571428
0.19,0.918142857142857,0.9245714285714284
0.2,0.9162857142857145,0.9257142857142857
0.21,0.9170000000000001,0.9202857142857143
0.22,0.9184285714285715,0.9205714285714287
0.23,0.9247142857142858,0.9155714285714286
0.24,0.9222857142857143,0.9201428571428575
0.25,0.9229999999999998,0.9171428571428571
0.26,0.9174285714285716,0.9195714285714286
0.27,0.9168571428571426,0.9222857142857142
0.28,0.9175714285714286,0.9198571428571427
0.29,0.9194285714285716,0.9157142857142856
0.3,0.9204285714285714,0.9170000000000001
0.31,0.9131428571428573,0.915857142857143
0.32,0.9205714285714285,0.9171428571428571
0.33,0.9164285714285715,0.9235714285714286
0.34,0.9215714285714285,0.9124285714285714
0.35000000000000003,0.9219999999999999,0.9195714285714286
0.36,0.916142857142857,0.9190000000000002
0.37,0.9207142857142859,0.9231428571428576
0.38,0.9124285714285717,0.923142857142857
0.39,0.9147142857142857,0.9198571428571428
0.4,0.9197142857142856,0.9168571428571429
0.41000000000000003,0.9167142857142857,0.9185714285714285
0.42,0.9185714285714287,0.9278571428571429
0.43,0.9202857142857143,0.9215714285714285
0.44,0.9170000000000001,0.9177142857142855
0.45,0.9188571428571429,0.9239999999999999
0.46,0.9150000000000001,0.9202857142857143
0.47000000000000003,0.9158571428571428,0.922
0.48,0.9172857142857144,0.923857142857143
0.49,0.911857142857143,0.919857142857143
0.5,0.9140000000000005,0.9227142857142857
0.51,0.9171428571428569,0.925
0.52,0.9218571428571428,0.9195714285714286
0.53,0.9167142857142859,0.9155714285714286
0.54,0.9194285714285716,0.9197142857142858
0.55,0.9171428571428574,0.9182857142857143
0.56,0.9194285714285716,0.9152857142857144
0.5700000000000001,0.9164285714285715,0.917857142857143
0.58,0.9122857142857144,0.9218571428571428
0.59,0.9172857142857144,0.9187142857142859
0.6,0.9230000000000002,0.9148571428571427
0.61,0.9202857142857145,0.9171428571428571
0.62,0.9217142857142857,0.9142857142857143
0.63,0.9162857142857143,0.9188571428571429
0.64,0.9174285714285716,0.9164285714285713
0.65,0.9197142857142858,0.92
0.66,0.9211428571428572,0.9224285714285714
0.67,0.9210000000000002,0.9222857142857143
0.68,0.9231428571428572,0.9252857142857143
0.6900000000000001,0.9204285714285715,0.9210000000000004
0.7000000000000001,0.9195714285714286,0.9169999999999999
0.71,0.9154285714285711,0.9217142857142857
0.72,0.9154285714285714,0.918142857142857
0.73,0.9247142857142856,0.9177142857142856
0.74,0.9208571428571429,0.9219999999999999
0.75,0.9150000000000001,0.9215714285714285
0.76,0.9225714285714287,0.9162857142857143
0.77,0.9168571428571429,0.9152857142857144
0.78,0.9154285714285714,0.9191428571428572
0.79,0.9214285714285714,0.9124285714285716
0.8,0.9217142857142858,0.9224285714285714
0.81,0.9177142857142858,0.9208571428571429
