Alpha,Train Score,Testing Score
0.01,0.8935714285714287,0.9040000000000004
0.02,0.8982857142857146,0.8984285714285715
0.03,0.8924285714285713,0.8982857142857145
0.04,0.899857142857143,0.903
0.05,0.9015714285714287,0.9035714285714287
0.060000000000000005,0.8991428571428572,0.9065714285714286
0.06999999999999999,0.9045714285714285,0.904
0.08,0.9005714285714282,0.9002857142857144
0.09,0.9022857142857142,0.9022857142857145
0.09999999999999999,0.9007142857142859,0.9052857142857145
0.11,0.897714285714286,0.9028571428571428
0.12,0.9034285714285717,0.9059999999999999
0.13,0.9051428571428575,0.9012857142857145
0.14,0.8971428571428571,0.9001428571428572
0.15000000000000002,0.8970000000000001,0.8995714285714286
0.16,0.9015714285714287,0.8954285714285712
0.17,0.8951428571428571,0.9034285714285716
0.18000000000000002,0.8981428571428574,0.8974285714285714
0.19,0.8997142857142858,0.899857142857143
0.2,0.9012857142857144,0.901714285714286
0.21000000000000002,0.9000000000000004,0.9034285714285715
0.22,0.9024285714285714,0.9014285714285717
0.23,0.8985714285714286,0.9062857142857143
0.24000000000000002,0.9001428571428571,0.9092857142857146
0.25,0.9057142857142859,0.9002857142857144
0.26,0.8992857142857145,0.9011428571428574
0.27,0.8967142857142858,0.9035714285714288
0.28,0.9007142857142858,0.8977142857142856
0.29000000000000004,0.8950000000000001,0.9027142857142857
0.3,0.8948571428571429,0.9058571428571426
0.31,0.9042857142857144,0.9001428571428571
0.32,0.8992857142857141,0.9037142857142859
0.33,0.8910000000000002,0.9010000000000001
0.34,0.9035714285714287,0.8991428571428571
0.35000000000000003,0.9021428571428571,0.8951428571428574
0.36000000000000004,0.898285714285714,0.9024285714285714
0.37,0.8984285714285715,0.9072857142857144
0.38,0.9001428571428572,0.8984285714285716
0.39,0.8962857142857146,0.9045714285714285
0.4,0.9048571428571429,0.8987142857142858
0.41000000000000003,0.8991428571428572,0.9028571428571429
0.42000000000000004,0.9055714285714287,0.9018571428571429
0.43,0.8931428571428572,0.9047142857142858
0.44,0.9020000000000001,0.9005714285714285
0.45,0.902,0.8968571428571428
0.46,0.8995714285714286,0.9008571428571429
0.47000000000000003,0.8992857142857142,0.9001428571428571
0.48000000000000004,0.9010000000000001,0.9020000000000001
0.49,0.8950000000000002,0.9017142857142857
